Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
browser,Firefox 47.0,,2019-03-06 17:20:38,2019-03-06 17:20:56,17.525s,PASSED
,,,,,,
Test Cases/LaunchApp,Firefox 47.0,,2019-03-06 17:20:39,2019-03-06 17:20:56,17.072s,PASSED
"openBrowser("""")",Firefox 47.0,,2019-03-06 17:20:39,2019-03-06 17:20:52,13.109s,PASSED
"navigateToUrl(""http://192.168.0.171:4000/login"")",Firefox 47.0,INVOKE REACTAPP ,2019-03-06 17:20:52,2019-03-06 17:20:54,1.343s,PASSED
maximizeWindow(),Firefox 47.0,,2019-03-06 17:20:54,2019-03-06 17:20:54,0.053s,PASSED
