Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
browser,Chrome 72.0.3626.121,,2019-03-07 10:51:09,2019-03-07 10:51:29,19.340s,PASSED
,,,,,,
Test Cases/LaunchApp,Chrome 72.0.3626.121,,2019-03-07 10:51:10,2019-03-07 10:51:28,18.233s,PASSED
"openBrowser("""")",Chrome 72.0.3626.121,,2019-03-07 10:51:11,2019-03-07 10:51:22,11.103s,PASSED
"navigateToUrl(""http://192.168.0.171:4000/login"")",Chrome 72.0.3626.121,INVOKE REACTAPP ,2019-03-07 10:51:22,2019-03-07 10:51:25,2.867s,PASSED
maximizeWindow(),Chrome 72.0.3626.121,,2019-03-07 10:51:25,2019-03-07 10:51:26,1.179s,PASSED
